,surface,tourney_date,winner_id,winner_hand,winner_ht,winner_age,loser_id,loser_hand,loser_ht,loser_age,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points,Month,Quarter
108,Hard,2019-01-07,105815,R,,27.463381245700003,109739,L,,23.5646817248,3,63.0,814.0,70.0,732.0,1,1
109,Hard,2019-01-07,200005,L,,20.5338809035,104655,R,180.0,33.015742642,3,98.0,584.0,90.0,630.0,1,1
110,Hard,2019-01-07,104259,R,178.0,35.227926078,105614,L,190.0,28.3832991102,3,34.0,1125.0,76.0,699.0,1,1
111,Hard,2019-01-07,105376,R,185.0,29.4811772758,105550,L,185.0,28.643394935,3,60.0,830.0,66.0,790.0,1,1
112,Hard,2019-01-07,200282,R,,19.8877481177,104312,R,190.0,34.8774811773,3,29.0,1253.0,37.0,1100.0,1,1
113,Hard,2019-01-07,104312,R,190.0,34.8774811773,106043,R,170.0,26.392881588,3,37.0,1100.0,19.0,1880.0,1,1
114,Hard,2019-01-07,200282,R,,19.8877481177,104468,R,183.0,34.0287474333,3,29.0,1253.0,31.0,1210.0,1,1
115,Hard,2019-01-07,104312,R,190.0,34.8774811773,126774,R,,20.4052019165,3,37.0,1100.0,15.0,2095.0,1,1
116,Hard,2019-01-07,106043,R,170.0,26.392881588,106415,L,,23.279945243,3,19.0,1880.0,75.0,701.0,1,1
117,Hard,2019-01-07,104468,R,183.0,34.0287474333,105357,R,183.0,29.5660506502,3,31.0,1210.0,38.0,1083.0,1,1
118,Hard,2019-01-07,200282,R,,19.8877481177,111442,R,,24.717316906199997,3,29.0,1253.0,72.0,715.0,1,1
119,Hard,2019-01-07,126774,R,,20.4052019165,105819,R,,27.425051334699997,3,15.0,2095.0,80.0,682.0,1,1
120,Hard,2019-01-07,104312,R,190.0,34.8774811773,105373,L,190.0,29.492128679,3,37.0,1100.0,40.0,1050.0,1,1
121,Hard,2019-01-07,106043,R,170.0,26.392881588,104198,R,188.0,35.5947980835,3,19.0,1880.0,101.0,565.0,1,1
122,Hard,2019-01-07,106415,L,,23.279945243,126094,R,,21.2156057495,3,75.0,701.0,84.0,655.0,1,1
123,Hard,2019-01-07,105357,R,183.0,29.5660506502,105916,R,,26.9130732375,3,38.0,1083.0,35.0,1122.0,1,1
124,Hard,2019-01-07,104468,R,183.0,34.0287474333,105023,R,198.0,31.252566735100004,3,31.0,1210.0,48.0,955.0,1,1
125,Hard,2019-01-07,200282,R,,19.8877481177,124187,R,,21.3607118412,3,29.0,1253.0,102.0,561.0,1,1
126,Hard,2019-01-07,111442,R,,24.717316906199997,106121,R,,25.943874058899997,3,72.0,715.0,78.0,691.0,1,1
127,Hard,2019-01-07,105819,R,,27.425051334699997,105051,R,188.0,31.1156741958,3,80.0,682.0,47.0,981.0,1,1
128,Hard,2019-01-07,105373,L,190.0,29.492128679,200615,R,,19.4250513347,3,40.0,1050.0,149.0,367.0,1,1
129,Hard,2019-01-07,104312,R,190.0,34.8774811773,104871,R,188.0,31.901437371700002,3,37.0,1100.0,36.0,1120.0,1,1
130,Hard,2019-01-07,104198,R,188.0,35.5947980835,106045,R,180.0,26.3901437372,3,101.0,565.0,62.0,818.0,1,1
131,Hard,2019-01-07,106415,L,,23.279945243,105992,R,183.0,26.6694045175,3,75.0,701.0,81.0,660.0,1,1
132,Hard,2019-01-07,126094,R,,21.2156057495,106298,R,185.0,24.870636550300002,3,84.0,655.0,30.0,1245.0,1,1
133,Hard,2019-01-07,105916,R,,26.9130732375,105902,R,183.0,26.962354551700003,3,35.0,1122.0,238.0,206.0,1,1
134,Hard,2019-01-07,105357,R,183.0,29.5660506502,126207,R,,20.9637234771,3,38.0,1083.0,39.0,1080.0,1,1
135,Hard,2019-01-07,105023,R,198.0,31.252566735100004,104291,R,185.0,34.9650924025,3,48.0,955.0,42.0,1042.0,1,1
136,Hard,2019-01-07,200282,R,,19.8877481177,105583,R,180.0,28.522929500300002,3,29.0,1253.0,45.0,1010.0,1,1
137,Hard,2019-01-07,124187,R,,21.3607118412,105077,L,188.0,30.9733059548,3,102.0,561.0,65.0,790.0,1,1
138,Hard,2019-01-07,111442,R,,24.717316906199997,105173,L,183.0,30.524298425700003,3,72.0,715.0,41.0,1045.0,1,1
139,Hard,2019-01-14,104925,R,188.0,31.6495550992,104745,L,185.0,32.6160164271,5,1.0,9135.0,2.0,7480.0,1,1
140,Hard,2019-01-14,126774,R,,20.424366872,103819,R,185.0,37.4346338125,5,15.0,2095.0,3.0,6420.0,1,1
141,Hard,2019-01-14,105683,R,196.0,28.0492813142,100644,R,198.0,21.735797399000003,5,17.0,1900.0,4.0,6385.0,1,1
142,Hard,2019-01-14,126207,R,,20.9828884326,104731,R,203.0,32.659822039699996,5,39.0,1080.0,6.0,4810.0,1,1
143,Hard,2019-01-14,105138,R,183.0,30.7515400411,105227,R,198.0,30.2943189596,5,24.0,1605.0,7.0,4160.0,1,1
144,Hard,2019-01-14,200615,R,,19.4442162902,106233,R,185.0,25.363449692,5,149.0,360.0,8.0,4095.0,1,1
145,Hard,2019-01-14,104925,R,188.0,31.6495550992,105453,R,178.0,29.0431211499,5,1.0,9135.0,9.0,3750.0,1,1
146,Hard,2019-01-14,124187,R,,21.3798767967,104545,R,206.0,33.7193702943,5,97.0,593.0,10.0,3155.0,1,1
147,Hard,2019-01-14,105138,R,183.0,30.7515400411,111575,R,,22.6502395619,5,24.0,1605.0,11.0,2835.0,1,1
148,Hard,2019-01-14,106298,R,185.0,24.889801505799998,106432,R,,22.1656399726,5,31.0,1245.0,12.0,2435.0,1,1
149,Hard,2019-01-14,105807,R,188.0,27.509924709099998,104926,R,178.0,31.6440793977,5,23.0,1705.0,13.0,2315.0,1,1
150,Hard,2019-01-14,104607,R,196.0,33.325119781,106378,R,,24.016427104699996,5,57.0,865.0,14.0,2150.0,1,1
151,Hard,2019-01-14,104745,L,185.0,32.6160164271,126774,R,,20.424366872,5,2.0,7480.0,15.0,2095.0,1,1
152,Hard,2019-01-14,104925,R,188.0,31.6495550992,106421,R,,22.9240246407,5,1.0,9135.0,19.0,1865.0,1,1
153,Hard,2019-01-14,106298,R,185.0,24.889801505799998,105683,R,196.0,28.0492813142,5,31.0,1245.0,17.0,1900.0,1,1
154,Hard,2019-01-14,105936,R,185.0,26.8802190281,106065,R,,26.288843258000004,5,93.0,620.0,18.0,1889.0,1,1
155,Hard,2019-01-14,104607,R,196.0,33.325119781,106043,R,170.0,26.4120465435,5,57.0,865.0,16.0,1925.0,1,1
156,Hard,2019-01-14,126774,R,,20.424366872,105932,R,185.0,26.8911704312,5,15.0,2095.0,20.0,1820.0,1,1
157,Hard,2019-01-14,126207,R,,20.9828884326,105777,R,188.0,27.665982204000002,5,39.0,1080.0,21.0,1790.0,1,1
158,Hard,2019-01-14,106421,R,,22.9240246407,105676,R,163.0,28.104038329899996,5,19.0,1865.0,22.0,1785.0,1,1
159,Hard,2019-01-14,126774,R,,20.424366872,105138,R,183.0,30.7515400411,5,15.0,2095.0,24.0,1605.0,1,1
160,Hard,2019-01-14,105453,R,178.0,29.0431211499,105807,R,188.0,27.509924709099998,5,9.0,3750.0,23.0,1705.0,1,1
161,Hard,2019-01-14,105732,R,188.0,27.8275154004,111202,R,,22.6557152635,5,55.0,903.0,25.0,1585.0,1,1
162,Hard,2019-01-14,104925,R,188.0,31.6495550992,133430,L,,19.7508555784,5,1.0,9135.0,27.0,1440.0,1,1
163,Hard,2019-01-14,105227,R,198.0,30.2943189596,104269,L,188.0,35.1649555099,5,7.0,4160.0,28.0,1410.0,1,1
164,Hard,2019-01-14,104745,L,185.0,32.6160164271,200282,R,,19.9069130732,5,2.0,7480.0,29.0,1353.0,1,1
165,Hard,2019-01-14,104925,R,188.0,31.6495550992,106298,R,185.0,24.889801505799998,5,1.0,9135.0,31.0,1245.0,1,1
166,Hard,2019-01-14,106109,L,,26.0232717317,104468,R,183.0,34.0479123888,5,155.0,343.0,30.0,1280.0,1,1
167,Hard,2019-01-14,126203,R,,21.212867898699997,104792,R,193.0,32.3696098563,5,50.0,964.0,33.0,1195.0,1,1
168,Hard,2019-01-14,104312,R,190.0,34.8966461328,105449,R,188.0,29.0568104038,5,35.0,1170.0,34.0,1190.0,1,1
169,Hard,2019-01-14,105311,R,185.0,29.793292265599998,104259,R,178.0,35.2470910335,5,44.0,1017.0,32.0,1215.0,1,1
170,Hard,2019-01-14,104925,R,188.0,31.6495550992,106283,R,,25.004791238899998,5,1.0,9135.0,230.0,216.0,1,1
171,Hard,2019-01-14,103819,R,185.0,37.4346338125,105554,R,175.0,28.6461327858,5,3.0,6420.0,189.0,266.0,1,1
172,Hard,2019-01-14,105453,R,178.0,29.0431211499,111794,R,,23.0034223135,5,9.0,3750.0,176.0,291.0,1,1
173,Hard,2019-01-14,126774,R,,20.424366872,104678,R,193.0,32.9253935661,5,15.0,2095.0,200.0,252.0,1,1
174,Hard,2019-01-14,106421,R,,22.9240246407,144750,R,,21.8863791923,5,19.0,1865.0,119.0,472.0,1,1
175,Hard,2019-01-14,106043,R,170.0,26.4120465435,200484,R,,18.2176591376,5,16.0,1925.0,206.0,246.0,1,1
176,Hard,2019-01-14,105932,R,185.0,26.8911704312,111153,R,,22.694045174499998,5,20.0,1820.0,170.0,312.0,1,1
177,Hard,2019-01-14,105932,R,185.0,26.8911704312,105882,U,,27.074606433899998,5,20.0,1820.0,137.0,401.0,1,1
178,Hard,2019-01-14,105807,R,188.0,27.509924709099998,104563,R,,33.612594113600004,5,23.0,1705.0,163.0,325.0,1,1
179,Hard,2019-01-14,104269,L,188.0,35.1649555099,200175,R,,19.3730321697,5,28.0,1410.0,125.0,458.0,1,1
180,Hard,2019-01-14,200282,R,,19.9069130732,105967,R,,26.789869952100002,5,29.0,1353.0,166.0,319.0,1,1
181,Hard,2019-01-14,104468,R,183.0,34.0479123888,106216,R,,25.4893908282,5,30.0,1280.0,133.0,421.0,1,1
182,Hard,2019-01-14,105554,R,175.0,28.6461327858,105147,R,180.0,30.6584531143,5,189.0,266.0,150.0,360.0,1,1
183,Hard,2019-01-14,106121,R,,25.9630390144,106423,R,,22.762491444200002,5,82.0,691.0,144.0,379.0,1,1
184,Hard,2019-01-14,109739,L,,23.5838466804,105163,R,,30.5954825462,5,71.0,744.0,252.0,186.0,1,1
185,Hard,2019-01-14,126207,R,,20.9828884326,105432,L,,29.1718001369,5,39.0,1080.0,109.0,515.0,1,1
186,Hard,2019-01-14,104925,R,188.0,31.6495550992,104542,R,188.0,33.7440109514,5,1.0,9135.0,177.0,290.0,1,1
187,Hard,2019-01-14,104745,L,185.0,32.6160164271,105902,R,183.0,26.981519507199998,5,2.0,7480.0,237.0,206.0,1,1
188,Hard,2019-01-14,100644,R,198.0,21.735797399000003,106109,L,,26.0232717317,5,4.0,6385.0,155.0,343.0,1,1
189,Hard,2019-01-14,106298,R,185.0,24.889801505799998,200615,R,,19.4442162902,5,31.0,1245.0,149.0,360.0,1,1
190,Hard,2019-01-14,104259,R,178.0,35.2470910335,104810,R,,32.3175906913,5,32.0,1215.0,261.0,173.0,1,1
191,Hard,2019-01-14,106109,L,,26.0232717317,106058,R,185.0,26.3052703628,5,155.0,343.0,105.0,540.0,1,1
192,Hard,2019-01-14,105341,R,,29.6372347707,106186,R,,25.6563997262,5,102.0,573.0,130.0,433.0,1,1
193,Hard,2019-01-14,106045,R,180.0,26.409308692699998,117360,U,,21.7029431896,5,62.0,818.0,169.0,317.0,1,1
194,Hard,2019-01-14,104745,L,185.0,32.6160164271,105051,R,188.0,31.1348391513,5,2.0,7480.0,48.0,981.0,1,1
195,Hard,2019-01-14,104745,L,185.0,32.6160164271,104607,R,196.0,33.325119781,5,2.0,7480.0,57.0,865.0,1,1
196,Hard,2019-01-14,104745,L,185.0,32.6160164271,126207,R,,20.9828884326,5,2.0,7480.0,39.0,1080.0,1,1
197,Hard,2019-01-14,103819,R,185.0,37.4346338125,104797,R,188.0,32.3531827515,5,3.0,6420.0,101.0,577.0,1,1
198,Hard,2019-01-14,103819,R,185.0,37.4346338125,126203,R,,21.212867898699997,5,3.0,6420.0,50.0,964.0,1,1
199,Hard,2019-01-14,100644,R,198.0,21.735797399000003,105379,R,181.0,29.492128679,5,4.0,6385.0,67.0,760.0,1,1
200,Hard,2019-01-14,100644,R,198.0,21.735797399000003,104871,R,188.0,31.920602327199997,5,4.0,6385.0,36.0,1120.0,1,1
201,Hard,2019-01-14,104731,R,203.0,32.659822039699996,105173,L,183.0,30.5434633812,5,6.0,4810.0,42.0,1045.0,1,1
202,Hard,2019-01-14,105227,R,198.0,30.2943189596,106071,R,193.0,26.2313483915,5,7.0,4160.0,88.0,655.0,1,1
203,Hard,2019-01-14,105227,R,198.0,30.2943189596,111456,R,,23.748117727600004,5,7.0,4160.0,81.0,692.0,1,1
204,Hard,2019-01-14,106233,R,185.0,25.363449692,105332,R,196.0,29.6865160849,5,8.0,4095.0,61.0,820.0,1,1
205,Hard,2019-01-14,105453,R,178.0,29.0431211499,103333,R,208.0,39.8767967146,5,9.0,3750.0,73.0,739.0,1,1
